Month,Interest
2014-10,3
2014-11,3
2014-12,3
2015-01,4
2015-02,3
2015-03,3
2015-04,3
2015-05,3
2015-06,3
2015-07,3
2015-08,3
2015-09,3
2015-10,3
2015-11,4
2015-12,4
2016-01,4
2016-02,3
2016-03,3
2016-04,3
2016-05,4
2016-06,5
2016-07,4
2016-08,4
2016-09,4
2016-10,4
2016-11,5
2016-12,5
2017-01,7
2017-02,6
2017-03,8
2017-04,7
2017-05,16
2017-06,16
2017-07,14
2017-08,21
2017-09,22
2017-10,22
2017-11,44
2017-12,100
2018-01,57
2018-02,42
2018-03,24
2018-04,19
2018-05,15
2018-06,13
2018-07,14
2018-08,14
2018-09,13
2018-10,11
2018-11,14
2018-12,14
2019-01,11
2019-02,10
2019-03,9
2019-04,13
2019-05,19
2019-06,22
2019-07,21
2019-08,25
2019-09,73
2019-10,13
2019-11,13
2019-12,11
2020-01,14
2020-02,15
2020-03,21
2020-04,17
2020-05,22
2020-06,15
2020-07,16
2020-08,18
2020-09,14
2020-10,15
2020-11,26
2020-12,34
2021-01,68
2021-02,62
